billing_account_id,invoice_month,usage_start_time,usage_end_time,service_id,service_description,sku_id,sku_description,project_id,project_name,cost_type,cost,credits_amount,net_cost,currency,usage_amount,usage_unit,resource_name,location_region,label_team,label_environment,label_cost_center,label_project_id,label_owner_email,label_created_date,tags_environment
01A2B3-C4D5E6-F7G8H9,202601,2026-01-01T00:00:00Z,2026-01-31T23:59:59Z,6F81-5844-456A,Compute Engine,0D56-2F80-52A5,N2 Instance Core running in Americas,platform-prod-01,platform-production,regular,4820.50,-1782.59,3037.91,USD,744,hour,//compute.googleapis.com/projects/platform-prod-01/zones/us-central1-a/instances/api-gateway-01,us-central1,platform,prod,CC-1042,PROJ-0091,r.patel@acmecorp.com,2024-03-10,prod
01A2B3-C4D5E6-F7G8H9,202601,2026-01-01T00:00:00Z,2026-01-31T23:59:59Z,6F81-5844-456A,Compute Engine,0D56-2F80-52A6,N2 Instance Ram running in Americas,platform-prod-01,platform-production,regular,1240.80,-458.70,782.10,USD,744,hour,//compute.googleapis.com/projects/platform-prod-01/zones/us-central1-a/instances/api-gateway-01,us-central1,platform,prod,CC-1042,PROJ-0091,r.patel@acmecorp.com,2024-03-10,prod
01A2B3-C4D5E6-F7G8H9,202601,2026-01-01T00:00:00Z,2026-01-31T23:59:59Z,95FF-2EF5-5EA1,Kubernetes Engine,9174-AF20-4B49,GKE Cluster Management Fee,platform-prod-01,platform-production,regular,73.00,0.00,73.00,USD,744,hour,//container.googleapis.com/projects/platform-prod-01/clusters/main-cluster,us-central1,platform,prod,CC-1042,PROJ-0091,r.patel@acmecorp.com,2024-03-10,prod
01A2B3-C4D5E6-F7G8H9,202601,2026-01-01T00:00:00Z,2026-01-31T23:59:59Z,95FF-2EF5-5EA1,Kubernetes Engine,A512-3CC0-8C81,N2 Instance Core running in Americas (GKE),platform-prod-01,platform-production,regular,3210.40,-1187.85,2022.55,USD,744,hour,//container.googleapis.com/projects/platform-prod-01/clusters/main-cluster,us-central1,platform,prod,CC-1042,PROJ-0091,r.patel@acmecorp.com,2024-03-10,prod
01A2B3-C4D5E6-F7G8H9,202601,2026-01-01T00:00:00Z,2026-01-31T23:59:59Z,95FF-2EF5-5EA1,Kubernetes Engine,A512-3CC0-8C81,N2 Instance Core running in Americas (GKE),platform-staging-01,platform-staging,regular,820.10,0.00,820.10,USD,744,hour,//container.googleapis.com/projects/platform-staging-01/clusters/staging-cluster,us-central1,platform,staging,CC-1042,PROJ-0091,r.patel@acmecorp.com,2024-03-10,staging
01A2B3-C4D5E6-F7G8H9,202601,2026-01-01T00:00:00Z,2026-01-31T23:59:59Z,E3D5-5B25-9D45,Cloud Storage,B7D2-2B7C-4F12,Standard Storage US,platform-prod-01,platform-production,regular,342.18,0.00,342.18,USD,114060,gibibyte month,,,platform,prod,CC-1042,PROJ-0091,r.patel@acmecorp.com,2024-03-10,prod
01A2B3-C4D5E6-F7G8H9,202601,2026-01-01T00:00:00Z,2026-01-31T23:59:59Z,E3D5-5B25-9D45,Cloud Storage,B7D2-2B7C-4F13,Nearline Storage US,platform-prod-01,platform-production,regular,44.90,0.00,44.90,USD,44900,gibibyte month,,,platform,prod,CC-1042,PROJ-0091,r.patel@acmecorp.com,2024-03-10,prod
01A2B3-C4D5E6-F7G8H9,202601,2026-01-01T00:00:00Z,2026-01-31T23:59:59Z,6F81-5844-456A,Compute Engine,5110-AB12-CD34,Cloud Load Balancing Forwarding Rule,platform-prod-01,platform-production,regular,219.60,0.00,219.60,USD,744,hour,,,platform,prod,CC-1042,PROJ-0091,r.patel@acmecorp.com,2024-03-10,prod
01A2B3-C4D5E6-F7G8H9,202601,2026-01-01T00:00:00Z,2026-01-31T23:59:59Z,152E-C115-5142,BigQuery,1234-ABCD-5678,Analysis - Queries,data-analytics-prod,data-analytics-production,regular,2840.00,0.00,2840.00,USD,142000,tebibyte,,,data-analytics,prod,CC-2017,PROJ-0134,analytics-lead@acmecorp.com,2024-06-01,prod
01A2B3-C4D5E6-F7G8H9,202601,2026-01-01T00:00:00Z,2026-01-31T23:59:59Z,152E-C115-5142,BigQuery,1234-ABCD-5679,Active Storage,data-analytics-prod,data-analytics-production,regular,1240.50,0.00,1240.50,USD,6202500,gibibyte month,,,data-analytics,prod,CC-2017,PROJ-0134,analytics-lead@acmecorp.com,2024-06-01,prod
01A2B3-C4D5E6-F7G8H9,202601,2026-01-01T00:00:00Z,2026-01-31T23:59:59Z,152E-C115-5142,BigQuery,1234-ABCD-5680,Long-term Storage,data-analytics-prod,data-analytics-production,regular,418.30,0.00,418.30,USD,4183000,gibibyte month,,,data-analytics,prod,CC-2017,PROJ-0134,analytics-lead@acmecorp.com,2024-06-01,prod
01A2B3-C4D5E6-F7G8H9,202601,2026-01-01T00:00:00Z,2026-01-31T23:59:59Z,7E6A-2D71-FA35,Dataflow,DF01-1234-ABCD,Dataflow Streaming Engine vCPU,data-analytics-prod,data-analytics-production,regular,1890.40,0.00,1890.40,USD,37808,hour,,,data-analytics,prod,CC-2017,PROJ-0134,analytics-lead@acmecorp.com,2024-06-01,prod
